sentenceID,labels.rhetClass,enrichmentSet.rhetClass,text
1801071P1S1,,Sentence,Citation Nr: 1801071
1801071P2S1,,Sentence,Decision Date: 01/09/18    Archive Date: 01/19/18
1801071P3S1,,Sentence,DOCKET NO.  13-34 082A)	DATE
1801071P4S2,,Sentence,On appeal from the
1801071P5S2,,Sentence,"Department of Veterans Affairs Regional Office in St. Petersburg, Florida"
1801071P6S1,,Sentence,THE ISSUES
1801071P7S2,,Sentence,1.
1801071P7S3,,Sentence,Whether new and material evidence has been received to reopen a claim for entitlement to service connection for a back disability.
1801071P8S2,,Sentence,2.
1801071P8S3,,Sentence,Entitlement to service connection for a back condition.
1801071P9S2,,Sentence,3.
1801071P9S3,,Sentence,"Entitlement to service connection for an acquired psychiatric disorder, to include post-traumatic stress disorder (PTSD)."
1801071P10S1,,Sentence,REPRESENTATION
1801071P11S2,,Sentence,"Appellant represented by:Ralph Bratch, Attorney"
1801071P12S1,,Sentence,ATTORNEY FOR THE BOARD
1801071P13S2,,Sentence,"A. Smith, Associate Counsel"
1801071P14S1,,Sentence,INTRODUCTION
1801071P15S2,,EvidenceSentence,The Veteran served on active duty in the U.S. Air Force from August 1976 to August 1980.
1801071P16S2,,Sentence,"This matter comes before the Board of Veterans' Appeals (Board) on appeal from an August 2011 rating decision issued by the Department of Veterans Affairs (VA) Regional Office (RO) in St. Petersburg, Florida."
1801071P17S2,,Sentence,The Veteran requested a hearing before a travel board.
1801071P17S3,,Sentence,"In a May 2017 statement from his representative, the Veteran canceled his request for a hearing."
1801071P17S4,,EvidenceSentence,There are no additional requests for a hearing of record.
1801071P17S5,,Sentence,"As such, the Board considers the Veteran's request for a hearing satisfied."
1801071P17S6,,CitationSentence,"See 38 C.F.R. Â§Â§ 20.702(e), 20.704(e) (2017)."
1801071P18S2,,EvidenceSentence,"As will be discussed, the record does not reflect a diagnosis for PTSD."
1801071P18S3,,Sentence,"However, the Board has considered whether the record suggests other psychiatric conditions as well pursuant to Clemons v. Shinseki, 23 Vet. App. 1, 4-6 (2009)."
1801071P18S4,,Sentence,"As such, the Board has recharacterized the issue for PTSD as reflected on the title page."
1801071P19S1,,Sentence,The issue of service connection for a back disability is addressed in the REMAND portion of the decision below and is REMANDED to the Agency of Original Jurisdiction (AOJ).
1801071P20S1,,Sentence,FINDINGS OF FACT
1801071P21S2,,Sentence,1.
1801071P21S3,,FindingSentence,"In an April 2009 decision, the Board determined that new and material evidence had not been received sufficient to reopen a claim for service connection for a back condition."
1801071P22S2,,Sentence,2.
1801071P22S3,,LegalRuleSentence,"The evidence associated with the claims file subsequent to the April 2009 Board decision relates to an unestablished fact necessary to substantiate the claim for service connection for a back condition, is not cumulative or redundant of the evidence previously of record, and is sufficient to raise a reasonable possibility of substantiating the claim."
1801071P23S2,,Sentence,3.
1801071P23S3,,EvidenceSentence,The record does not reflect a current diagnosis or persistent or recurrent symptomatology for PTSD or another psychiatric disorder.
1801071P24S1,,Sentence,CONCLUSIONS OF LAW
1801071P25S2,,Sentence,1.
1801071P25S3,,Sentence,New and material evidence has been received to reopen a claim of entitlement to service connection for a back condition.
1801071P25S4,,CitationSentence,38 U.S.C. Â§ 5108 (West 2012); 38 C.F.R. Â§ 3.156 (2017).
1801071P26S2,,Sentence,2.
1801071P26S3,,FindingSentence,"The criteria for service connection for an acquired psychiatric disorder, to include PTSD have not been met."
1801071P26S4,,CitationSentence,"38 U.S.C. Â§Â§ 1110, 5107 (West 2012); 38 C.F.R. Â§ 3.303(a) (2017)."
1801071P27S1,,Sentence,REASONS AND BASES FOR FINDINGS AND CONCLUSIONS
1801071P28S2,,Sentence,Duties to Assist and Notify
1801071P29S2,LegalRuleSentence,Sentence,VA has a duty to notify and assist claimants in substantiating claims for VA benefits.
1801071P29S3,,CitationSentence,See e.g.
1801071P29S4,,CitationSentence,"38 U.S.C.A. Â§Â§ 5103, 5103A and 38 C.F.R. Â§ 3.159."
1801071P29S5,FindingSentence,EvidenceSentence,"For the issues decided herein, VA provided adequate notice in a letter sent to the Veteran in February 2011."
1801071P30S2,,EvidenceSentence,"With regard to the duty to assist, VA has obtained all identified and available service and post-service treatment records."
1801071P30S3,,EvidenceSentence,The Board acknowledges the representative's statement that VA did not fulfill its duty to assist by failing to provide the Veteran a VA examination regarding his PTSD claim.
1801071P30S4,ReasoningSentence,FindingSentence,"However, an examination is not warranted as the record does not reflect persistent or recurrent symptoms or a current diagnosis of PTSD or another psychiatric condition."
1801071P30S5,,CitationSentence,"See McClendon v. Nicholson, 20 Vet. App. 79 (2006); 38 C.F.R. Â§ 3.159(c)(4)."
1801071P30S6,FindingSentence,Sentence,"Accordingly, the Board finds VA has satisfied its duty to assist the Veteran in the development of the claim."
1801071P31S2,FindingSentence,ReasoningSentence,"As VA satisfied its duties to notify and assist the Veteran, the Board finds that there is no further action to be undertaken to comply with the provisions of 38 U.S.C. Â§ 5103(a), Â§ 5103A, or 38 C.F.R. Â§ 3.159 and that the Veteran will not be prejudiced as a result of the Board's adjudication of this claim."
1801071P32S2,,Sentence,New and Material Evidence
1801071P33S2,LegalRuleSentence,Sentence,"Generally, a claim that has been denied in a final unappealed rating decision may not thereafter be reopened and allowed."
1801071P33S3,,CitationSentence,"38 U.S.C. Â§Â§ 7104, 7105."
1801071P33S4,LegalRuleSentence,Sentence,"Similarly, a decision by the Board is final unless the Chairman of the Board orders reconsideration of the decision."
1801071P33S5,,CitationSentence,See 38 U.S.C. Â§ 7103(a); 38 C.F.R. Â§ 20.1100(a).
1801071P34S2,,LegalRuleSentence,"An exception to this rule is 38 U.S.C. Â§ 5108, which provides that if new and material evidence is presented or secured with respect to a claim which has been disallowed, VA will reopen the claim and review it on the merits."
1801071P35S2,,LegalRuleSentence,New evidence is defined as existing evidence not previously submitted to agency decision makers.
1801071P35S3,,LegalRuleSentence,"Material evidence means evidence that, by itself or when considered with previous evidence of record, relates to an unestablished fact necessary to substantiate the claim."
1801071P35S4,,LegalRuleSentence,"New and material evidence can be neither cumulative nor redundant of the evidence previously of record, and must raise a reasonable possibility of substantiating the claim."
1801071P35S5,,CitationSentence,38 C.F.R. Â§ 3.156(a).
1801071P36S2,,LegalRuleSentence,"In determining whether evidence is new and material, the credibility of the evidence is generally presumed."
1801071P36S3,,CitationSentence,"Justus v. Principi, 3 Vet. App. 510, 512-513 (1992)."
1801071P36S4,,LegalRuleSentence,"The United States Court of Appeals for the Federal Circuit has held, however, that evidence that is merely cumulative of other evidence in the record cannot be new and material even if that evidence had not been previously presented to the Board."
1801071P36S5,,CitationSentence,"Anglin v. West, 203 F.3d 1343 (2000)."
1801071P37S2,,LegalRuleSentence,Entitlement to service connection requires: (1) evidence of a current disability; (2) evidence of in-service incurrence or aggravation of a disease or injury; and (3) evidence of a nexus between the in-service disease or injury and the current disability.
1801071P37S3,,CitationSentence,"38 C.F.R. Â§ 3.303(a); Shedden v. Principi, 381 F.3d 1163, 1167 (Fed. Cir. 2004)."
1801071P38S2,,Sentence,Analysis
1801071P39S2,,Sentence,"In an April 2009 Board decision, the Board denied reopening the Veteran's claim for service connection for a back condition because the medical reports submitted, while new, did not speak to a nexus and in-service illness or injury regarding the Veteran's back."
1801071P40S2,,Sentence,"In January 2011, the Veteran filed a claim to reopen for service connection for a back condition."
1801071P40S3,,EvidenceSentence,Service treatment records (STRs) uploaded to VBMS in June 2014 include a September 1978 report indicating complaints of back pain.
1801071P40S4,,EvidenceSentence,"While prior rating decisions indicate that the Veteran's STRs from 1976 to 1980 were reviewed, previous rating decisions do not mention the September 1978 in-service report of back pain."
1801071P40S5,,EvidenceSentence,The Board's review of the STRs available at the time of the previous denial revealed that those STRs do not reflect the September 1978 report of back pain.
1801071P40S6,,ReasoningSentence,"As such, the Board determines that the evidence is new."
1801071P40S7,,ReasoningSentence,Nor is the evidence cumulative or redundant of any evidence already of record.
1801071P40S8,,FindingSentence,"Additionally, as the STRs speak to an in-service incurrence, the Board finds that the new evidence raises a reasonable possibility of substantiating the Veteran's claim of entitlement to service connection for a back condition."
1801071P41S2,FindingSentence,Sentence,"Hence, the low threshold for meeting the criteria for reopening has been met."
1801071P41S3,,CitationSentence,"Shade v. Shinseki, 24 Vet. App. 110, 117-118 (2010)."
1801071P41S4,,Sentence,"Accordingly, the claim of entitlement to service connection for a back condition is reopened."
1801071P41S5,,CitationSentence,38 C.F.R. Â§ 3.156(a).
1801071P42S2,,Sentence,Service Connection
1801071P43S2,,EvidenceSentence,The Veteran contends that he has PTSD as a result of his active service.
1801071P44S2,,Sentence,There are particular requirements for establishing service connection for PTSD.
1801071P44S3,,CitationSentence,"38 C.F.R. Â§ 3.304(f); Arzio v. Shinseki, 602 F.3d 1343, 1347 (Fed. Cir. 2010)."
